age,gender,income,education_years,experience_years,region,credit_score,debt_ratio,num_accounts,previous_defaults,approved
43,male,64014,10,37,west,425,0.898,1,0,1
61,male,29496,11,23,south,508,0.935,10,0,1
51,male,46628,8,22,south,396,0.98,5,0,1
27,male,32448,16,21,east,373,0.869,9,0,0
53,female,22970,15,1,east,490,0.174,12,0,0
31,female,58121,9,30,east,355,0.046,3,0,1
48,female,61387,15,10,south,331,0.58,9,0,0
65,male,41352,14,27,west,826,0.913,5,0,1
32,female,11134,18,31,south,583,0.177,9,0,0
25,female,41806,13,4,north,793,0.007,10,1,0
31,male,55877,8,37,south,486,0.805,6,0,1
40,male,27816,14,9,north,797,0.077,9,0,1
57,female,52750,17,39,west,741,0.414,7,0,1
38,male,49770,14,23,east,429,0.679,7,0,1
33,female,58689,20,34,east,591,0.237,8,0,1
62,male,51793,21,22,south,413,0.084,7,0,1
35,female,35403,16,16,east,498,0.77,12,0,0
64,male,67948,8,0,west,312,0.63,9,0,1
41,male,47622,9,30,east,570,0.988,11,0,1
43,male,49590,18,30,south,514,0.344,9,0,1
42,female,36000,16,33,west,743,0.062,6,0,1
62,female,43350,20,8,north,811,0.734,7,0,1
58,male,36727,16,21,south,746,0.522,2,1,1
46,male,47405,20,12,north,373,0.213,9,0,1
32,female,75675,13,24,west,836,0.782,12,0,1
62,male,29421,13,17,south,400,0.204,13,0,1
18,female,25796,11,11,south,475,0.261,1,0,1
42,male,72067,11,39,west,726,0.093,1,1,1
24,male,46860,12,16,east,416,0.399,3,0,1
26,male,39963,10,14,south,465,0.419,12,0,0
41,male,65598,8,14,south,340,0.515,6,0,1
18,female,40915,8,14,north,728,0.709,5,0,1
61,male,77390,19,38,east,643,0.906,2,0,1
25,male,60168,20,12,north,723,0.138,9,0,1
41,female,42681,14,16,north,665,0.054,14,0,0
28,male,82359,8,31,east,419,0.019,13,0,1
68,male,40914,8,8,east,528,0.144,10,0,1
34,female,61131,10,39,west,429,0.658,14,1,1
25,female,54489,17,19,east,651,0.727,4,0,1
52,male,69526,11,25,south,617,0.787,4,0,1
52,female,73422,11,26,east,636,0.244,5,0,1
50,female,50480,9,20,west,572,0.306,8,0,1
22,male,38698,8,17,west,416,0.483,10,0,0
59,male,56899,10,12,west,667,0.063,4,0,1
56,female,39834,18,15,east,393,0.611,5,0,0
58,female,80200,11,8,east,467,0.984,12,0,1
45,male,52048,10,11,north,640,0.361,4,0,1
24,female,44520,15,37,north,451,0.753,14,1,0
26,female,52770,21,18,south,573,0.5,6,0,1
25,male,29793,17,6,north,795,0.128,12,0,1
29,male,35425,8,34,south,400,0.582,3,0,0
51,male,68006,21,17,west,381,0.3,8,0,1
50,female,40146,9,15,north,828,0.034,6,0,1
65,male,34296,20,38,east,372,0.635,10,0,0
40,male,58049,14,3,north,313,0.859,5,0,1
41,female,67785,11,24,south,732,0.345,13,0,1
54,female,60784,15,31,north,456,0.39,2,0,1
52,male,64940,18,39,west,431,0.891,10,0,1
61,female,38648,20,12,east,637,0.814,10,0,1
57,male,28672,10,16,south,703,0.715,7,0,1
39,female,72520,13,36,east,675,0.249,2,0,1
44,male,45159,16,5,east,406,0.91,1,0,1
52,male,46237,8,18,south,564,0.154,7,0,1
18,female,69922,8,12,east,504,0.627,5,0,1
52,male,58343,15,25,east,378,0.029,1,0,1
54,male,56838,10,13,north,454,0.644,4,0,1
64,female,82475,12,30,east,546,0.277,12,0,1
31,female,40347,8,3,east,830,0.45,13,0,1
20,female,63917,12,38,east,837,0.345,4,0,1
18,female,50855,18,7,east,453,0.173,10,0,1
22,male,54028,13,24,south,453,0.622,7,0,1
43,male,72927,15,12,west,391,0.882,9,0,1
31,male,57617,20,31,north,732,0.959,2,0,1
56,male,58074,21,37,east,637,0.192,12,0,1
44,female,66087,10,37,east,779,0.717,14,0,1
26,male,44525,10,27,south,430,0.664,1,1,0
32,male,37411,19,29,west,749,0.343,2,0,1
32,male,34327,18,2,east,572,0.019,7,0,0
43,female,20504,18,27,south,476,0.69,13,0,0
59,male,80843,17,2,north,348,0.945,10,0,1
30,male,33451,16,33,north,654,0.632,6,0,0
68,male,46681,11,15,east,607,0.435,4,0,1
49,female,45847,11,21,east,345,0.525,1,0,1
56,male,54611,19,31,west,601,0.2,13,0,1
66,female,62236,14,37,west,707,0.751,1,0,1
69,female,62907,9,7,east,488,0.746,5,0,1
49,male,41253,15,7,south,428,0.146,1,0,1
21,female,47493,13,5,west,836,0.878,12,0,1
47,female,54238,10,13,east,565,0.269,7,0,1
54,female,46269,16,31,west,417,0.982,13,0,1
40,male,74110,12,34,east,763,0.383,11,0,1
56,male,57364,15,9,north,443,0.178,1,0,1
62,female,61023,14,2,east,741,0.352,1,0,1
32,male,59943,21,11,north,499,0.44,2,0,1
60,female,67602,15,30,west,456,0.069,13,1,0
46,female,52715,14,28,east,786,0.578,14,1,0
53,female,30547,10,4,west,433,0.598,11,0,0
30,male,55995,9,24,north,447,0.739,12,0,1
49,male,40229,14,30,east,635,0.029,10,0,1
24,female,42070,10,20,west,370,0.541,3,0,0
68,female,58795,10,19,north,532,0.053,13,0,1
39,male,68574,9,38,west,633,0.701,11,0,1
45,female,50319,11,21,south,389,0.056,1,1,0
19,female,54632,15,3,north,633,0.912,9,0,0
59,male,75533,19,12,north,498,0.702,10,0,1
62,male,53611,8,19,north,460,0.507,8,0,1
23,male,89025,8,12,east,837,0.442,5,0,1
45,male,58482,19,16,east,420,0.131,13,0,1
45,male,23588,21,35,east,600,0.291,11,0,1
61,female,61300,12,32,south,735,0.869,2,0,1
61,male,55717,18,0,south,367,0.904,5,0,1
37,male,69346,12,14,north,758,0.001,6,0,1
47,male,60097,18,12,south,813,0.594,14,1,1
28,male,47923,19,16,west,697,0.719,1,0,1
45,female,31635,8,23,north,585,0.619,11,0,1
42,male,46864,13,7,north,439,0.082,4,0,1
56,male,37242,8,26,west,581,0.218,9,0,1
50,female,41292,12,22,north,756,0.25,2,0,1
18,male,58828,16,7,south,386,0.832,5,1,0
44,male,75048,19,7,east,378,0.463,1,0,1
69,male,55920,21,25,west,504,0.487,4,0,1
30,male,32061,12,12,south,636,0.935,4,0,1
58,male,56669,13,38,west,553,0.637,6,0,1
20,male,67949,15,36,west,603,0.899,10,0,1
56,male,40853,18,27,north,679,0.457,9,0,1
23,female,47989,8,24,north,429,0.149,3,0,1
25,male,50220,21,15,south,575,0.93,9,0,1
44,male,38226,9,1,west,482,0.459,6,1,0
26,female,59724,16,17,north,567,0.182,7,0,1
54,male,48185,10,16,north,621,0.302,12,0,1
50,female,56292,13,29,west,811,0.051,10,0,1
68,male,36687,12,38,south,377,0.468,2,0,1
59,female,43438,18,12,south,638,0.853,11,0,1
61,male,60835,9,31,west,808,0.934,10,0,1
41,male,44407,21,28,south,537,0.933,14,1,0
32,male,75904,14,29,north,433,0.125,6,0,1
49,female,44005,11,17,west,491,0.382,6,0,1
49,male,53370,8,12,north,655,0.028,2,1,1
41,male,63988,20,20,east,577,0.855,2,0,1
58,male,28724,11,29,east,317,0.359,14,0,0
69,female,23587,13,20,south,823,0.631,2,0,1
66,male,27115,14,16,east,479,0.715,10,0,1
66,female,68938,14,39,north,422,0.43,12,0,1
69,male,41722,21,18,east,545,0.306,1,0,1
29,male,88372,14,14,north,672,0.962,5,0,1
56,male,41536,10,8,south,350,0.964,8,1,0
19,male,52768,13,9,south,370,0.289,2,0,1
20,male,73131,20,30,north,779,0.48,13,0,1
66,male,80091,15,22,east,318,0.973,5,0,1
54,female,80922,11,29,south,383,0.005,12,1,0
66,male,68125,20,32,west,454,0.413,8,0,1
34,male,65360,15,8,south,656,0.1,10,1,1
66,male,58887,9,0,east,742,0.509,14,0,1
19,male,61675,17,34,west,368,0.025,5,0,1
19,male,41732,16,10,east,822,0.407,2,0,1
45,male,37727,16,33,north,442,0.221,3,0,1
40,male,49949,15,15,west,491,0.533,6,0,1
54,female,47447,17,8,east,686,0.996,11,0,1
49,female,43201,21,31,west,677,0.801,11,0,1
50,male,60445,20,14,east,834,0.846,5,0,1
18,male,64329,17,11,west,592,0.635,11,0,1
36,female,51326,8,32,east,308,0.042,4,0,1
19,male,72162,9,13,north,570,0.207,4,0,1
61,male,32874,13,7,west,686,0.925,5,0,0
43,male,47095,17,7,west,392,0.366,2,0,0
49,female,39247,12,26,west,828,0.104,9,0,1
23,female,22001,19,11,west,453,0.702,2,0,0
49,male,48759,21,0,north,704,0.299,10,0,1
21,male,48173,16,39,west,448,0.269,2,0,1
28,male,72701,12,10,south,566,0.998,10,0,1
34,female,59462,9,38,north,721,0.858,14,0,1
55,male,34637,17,30,south,771,0.408,9,0,1
41,male,77811,11,16,west,846,0.98,14,0,1
22,female,68315,16,32,east,825,0.65,3,0,1
69,male,58731,8,31,south,802,0.742,10,0,1
51,female,46602,18,28,west,313,0.032,7,0,1
23,male,35608,8,20,south,663,0.122,4,0,1
39,male,44416,19,20,west,418,0.633,13,0,1
28,male,66331,14,39,west,537,0.899,13,0,1
65,female,78268,18,22,west,845,0.624,6,0,1
33,female,73148,10,5,east,468,0.134,14,0,1
50,female,42667,17,21,south,821,0.116,4,0,1
26,male,33205,9,37,north,815,0.844,10,0,1
23,female,52113,16,36,north,696,0.139,7,1,1
33,male,23473,10,7,north,405,0.52,1,0,0
46,male,54847,9,34,north,384,0.037,3,0,1
20,female,47785,19,10,west,513,0.081,13,0,1
37,male,43009,15,23,south,420,0.672,3,0,1
53,male,26079,17,20,south,431,0.689,1,0,1
36,male,57704,13,1,east,496,0.341,6,0,1
43,male,42009,13,39,south,318,0.216,13,1,1
20,male,32451,17,18,south,311,0.814,11,0,1
36,male,6916,18,38,south,380,0.217,14,0,0
37,male,49587,14,27,east,629,0.542,9,0,1
49,female,76583,14,16,north,691,0.968,8,0,1
24,female,74918,18,5,south,606,0.148,11,0,1
69,male,43143,20,18,east,566,0.941,7,0,1
58,male,40966,13,37,east,746,0.183,10,0,1
50,male,57031,11,27,west,740,0.567,8,0,1
57,male,35024,18,1,east,301,0.377,6,0,1
56,male,54526,16,37,north,819,0.965,9,0,1
35,female,61491,13,36,south,608,0.274,3,0,1
57,male,68403,11,3,east,821,0.4,10,0,1
18,male,48497,19,21,north,768,0.983,10,0,1
28,male,46944,10,25,east,511,0.536,9,0,1
45,male,36830,11,35,east,411,0.503,4,1,0
42,female,37596,10,12,east,307,0.258,7,1,0
67,female,46602,9,31,east,776,0.701,13,0,1
40,male,55510,21,16,east,759,0.014,9,0,1
48,female,63703,12,35,north,552,0.05,2,0,1
47,male,37952,9,18,south,825,0.599,2,0,1
59,female,72390,13,34,south,737,0.342,9,0,1
52,female,45933,10,39,south,535,0.953,12,0,1
24,male,49679,13,27,south,605,0.903,13,0,1
33,male,38791,18,0,north,777,0.714,3,0,1
43,male,13636,17,17,west,319,0.818,9,0,0
65,male,63260,16,39,west,515,0.667,13,0,1
69,female,61052,8,32,north,434,0.126,5,0,1
66,male,45780,13,11,north,428,0.766,6,1,0
19,male,51004,16,7,east,709,0.21,2,0,1
18,female,57739,18,23,east,721,0.323,8,0,1
65,female,26561,11,15,east,593,0.819,11,0,1
29,male,42064,18,3,south,545,0.537,9,0,1
22,male,61913,19,37,east,385,0.86,2,0,1
54,male,31185,9,26,west,674,0.213,6,0,1
49,male,54403,20,8,south,745,0.608,6,0,1
26,female,29651,11,15,east,677,0.084,8,0,0
58,male,56996,8,11,south,689,0.643,10,0,0
52,male,49465,10,30,west,350,0.763,12,0,0
36,male,25773,17,23,east,541,0.585,5,0,1
65,male,67471,16,13,west,593,0.266,9,0,1
33,female,38981,17,24,west,565,0.031,1,0,1
20,female,37846,12,33,west,419,0.119,9,0,1
37,male,53008,18,2,east,547,0.622,10,1,0
41,male,67229,13,23,north,369,0.934,7,0,1
50,male,34762,10,8,east,356,0.207,4,1,0
41,female,50925,12,25,west,681,0.735,3,0,1
69,female,56432,18,19,east,338,0.866,14,0,1
28,male,60396,15,39,west,742,0.521,10,1,0
66,female,52646,13,9,north,317,0.669,11,0,0
25,female,44494,11,18,south,651,0.815,14,0,1
53,male,37586,9,2,north,597,0.261,6,0,1
55,female,51292,21,23,north,582,0.297,12,0,1
57,male,33917,16,4,south,409,0.001,13,1,0
37,male,6179,20,2,east,479,0.963,1,0,0
52,male,56548,19,26,south,843,0.918,3,0,1
65,male,63559,8,15,east,324,0.765,2,0,1
42,male,14556,8,14,east,356,0.079,11,0,1
52,female,34854,20,34,west,479,0.448,13,0,1
42,male,59287,11,11,west,531,0.102,9,0,1
46,female,80862,14,25,south,642,0.016,3,0,1
35,male,50311,8,33,north,776,0.616,13,0,1
63,male,39079,16,22,south,754,0.961,2,1,0
35,male,47256,11,30,east,531,0.903,4,0,1
19,male,70623,10,19,west,588,0.697,14,0,1
52,female,40310,8,11,south,512,0.097,2,0,1
33,male,38012,17,22,south,557,0.274,1,0,1
58,male,42758,11,3,west,829,0.32,6,0,1
53,male,35700,16,22,west,528,0.763,10,1,0
50,female,51840,20,0,west,525,0.802,8,0,0
21,female,74370,21,24,east,734,0.385,10,1,1
50,female,54846,17,1,west,701,0.418,10,0,0
31,male,46214,13,29,north,387,0.045,2,0,1
38,male,45622,13,2,south,841,0.289,14,0,1
65,male,26552,8,20,west,608,0.451,9,0,0
37,male,63246,17,24,west,642,0.117,13,0,1
25,male,48832,9,19,east,735,0.453,3,1,0
24,male,47292,18,21,east,476,0.853,8,0,1
20,male,97896,13,20,south,438,0.581,12,1,1
34,male,54481,9,32,north,493,0.079,8,0,1
50,female,38723,10,37,south,485,0.192,3,0,1
65,male,43604,11,14,west,517,0.475,3,0,1
29,male,67226,18,14,north,463,0.361,12,0,1
68,female,51699,12,24,north,460,0.359,6,1,0
39,male,28425,16,20,north,824,0.529,1,0,1
39,female,63788,19,23,north,341,0.584,4,0,1
63,male,39977,11,4,south,509,0.797,1,0,1
47,male,78099,20,5,east,574,0.341,14,0,1
55,female,66200,18,22,east,578,0.805,3,0,1
55,female,43290,16,3,west,550,0.339,9,0,0
62,female,69215,18,26,east,609,0.055,14,0,1
68,male,51017,17,17,east,439,0.554,14,0,1
25,male,62791,10,20,east,845,0.588,5,0,1
44,male,57270,15,27,east,829,0.935,12,0,1
44,male,37304,19,34,west,356,0.726,5,0,1
51,female,40346,8,21,south,411,0.918,11,0,1
38,male,65449,18,39,north,304,0.908,4,0,1
47,female,44978,16,22,east,709,0.605,3,0,1
50,male,43945,16,2,south,713,0.528,5,0,1
45,male,35673,17,39,east,481,0.557,14,0,1
64,male,56353,9,9,east,312,0.978,11,0,1
50,female,80937,11,24,north,638,0.773,4,0,1
22,female,33987,20,7,north,558,0.106,8,0,1
65,female,50363,15,10,north,389,0.778,4,0,1
36,female,71183,14,4,east,549,0.171,11,0,1
21,female,48805,8,36,east,554,0.447,12,0,0
52,female,56785,12,37,east,407,0.21,8,0,1
66,male,34064,14,28,north,784,0.69,6,0,1
34,male,56424,11,4,west,557,0.877,14,0,1
61,male,47192,8,8,south,581,0.29,12,0,1
45,female,64785,16,1,west,387,0.082,11,0,1
47,female,67810,21,0,east,503,0.298,5,0,1
46,male,88843,12,39,east,315,0.672,4,0,1
63,female,58694,18,29,west,450,0.329,4,0,1
23,female,54886,9,10,east,553,0.278,12,0,0
52,male,52915,15,27,south,487,0.184,4,0,1
58,male,44702,18,11,east,628,0.498,11,0,1
54,female,55077,20,38,south,843,0.276,13,0,1
41,male,45568,9,25,west,696,0.731,13,1,0
46,female,52526,10,12,west,816,0.077,9,0,0
66,male,69763,21,7,east,758,0.664,4,0,1
63,female,34901,17,27,south,629,0.238,12,0,1
48,female,67098,8,29,east,468,0.489,9,1,0
52,female,69756,18,8,north,665,0.286,13,0,1
50,male,48228,9,38,north,477,0.723,10,0,1
69,female,18172,21,30,north,661,0.945,6,0,0
38,female,40882,14,20,north,339,0.917,10,0,0
49,male,69454,17,33,east,715,0.583,13,1,1
40,female,49656,9,30,north,654,0.463,7,0,1
50,male,35010,13,24,south,554,0.818,12,0,0
20,male,42428,10,11,west,442,0.683,10,1,0
35,male,62609,11,0,west,310,0.184,3,0,1
42,male,58201,18,21,north,325,0.821,8,0,1
59,male,46416,20,39,north,720,0.429,3,0,1
48,female,44497,15,36,north,520,0.189,1,0,1
20,male,44123,21,0,east,795,0.282,13,0,1
57,female,36163,10,0,west,536,0.268,13,0,1
63,male,74230,17,20,north,536,0.519,10,0,1
41,male,45165,13,14,south,518,0.234,12,0,1
67,male,68257,8,16,north,786,0.124,5,0,1
49,female,72819,14,21,west,760,0.124,2,0,1
64,male,64974,15,37,north,443,0.583,10,1,1
39,female,43525,18,34,west,488,0.735,14,0,1
40,female,56055,21,15,north,554,0.322,6,0,1
19,female,49637,15,7,south,367,0.035,13,1,0
44,male,36444,10,16,north,635,0.127,10,0,1
59,male,54865,21,16,south,708,0.915,9,0,1
19,female,32314,17,25,south,599,0.494,1,0,1
43,male,67815,8,12,north,656,0.454,14,0,1
34,female,43030,16,16,south,555,0.038,13,0,1
57,male,53017,20,37,east,652,0.729,4,1,0
50,female,54249,13,16,north,820,0.528,1,0,1
26,female,46116,18,13,north,823,0.202,1,0,1
60,female,58800,16,5,south,583,0.11,8,0,1
65,male,42876,14,34,south,611,0.383,14,0,1
56,female,63069,8,13,north,398,0.837,14,0,0
46,male,29810,19,7,east,496,0.865,13,0,0
59,male,51895,19,14,south,781,0.603,14,0,1
43,female,79083,8,26,south,525,0.728,11,0,1
52,female,34995,13,12,west,664,0.115,2,0,1
67,female,39833,12,30,east,667,0.588,1,0,1
42,female,57708,16,34,east,374,0.667,11,0,1
41,male,52693,9,5,north,341,0.201,8,0,0
30,male,55259,15,4,east,721,0.88,4,0,1
24,female,57337,18,21,north,480,0.195,3,0,1
53,male,59520,12,22,west,844,0.313,13,1,1
62,male,66645,9,24,east,370,0.621,12,0,1
37,male,56147,20,33,south,404,0.638,4,1,0
18,male,46381,17,25,west,499,0.699,14,0,1
25,male,60088,18,4,north,400,0.112,11,1,0
63,male,78498,18,25,west,606,0.849,5,0,1
33,male,48010,19,19,north,676,0.533,1,1,0
31,male,35382,13,5,west,698,0.471,14,0,1
29,female,66606,17,5,north,520,0.981,11,0,1
68,male,48194,15,17,east,481,0.74,1,1,0
40,male,17409,11,3,south,606,0.118,3,0,0
32,female,62711,9,16,north,821,0.757,6,0,1
45,male,41970,19,13,west,695,0.095,1,0,1
51,female,48642,18,13,north,303,0.027,14,1,0
19,female,54979,12,12,north,580,0.404,11,0,1
49,male,52857,19,6,north,514,0.994,12,0,1
40,male,60641,9,14,west,719,0.175,2,0,1
39,female,43467,9,18,south,400,0.673,12,0,0
68,female,57696,13,34,east,820,0.173,14,0,1
42,male,46106,18,16,south,608,0.725,7,0,1
39,female,61082,17,34,north,809,0.505,14,0,1
39,male,59230,16,18,west,362,0.68,14,1,1
66,female,35968,20,19,south,525,0.203,1,0,1
69,male,66289,11,35,north,404,0.746,13,0,1
59,female,41960,13,34,east,724,0.996,14,0,1
23,female,62120,14,31,east,554,0.666,7,0,1
32,female,55509,20,39,east,728,0.493,4,0,1
60,male,77572,18,23,north,733,0.923,10,0,1
54,male,46648,13,16,west,506,0.016,14,0,1
50,male,44760,15,6,south,327,0.73,6,0,0
25,male,49708,11,0,east,635,0.889,14,0,1
61,male,45452,19,34,north,368,0.062,8,0,1
61,female,61999,8,31,north,812,0.45,9,0,1
22,male,25755,14,35,south,466,0.205,6,0,1
56,male,34194,10,12,east,667,0.567,12,0,1
21,female,33982,21,5,north,550,0.65,11,0,1
23,female,64254,13,13,south,469,0.303,13,0,1
62,female,75659,9,36,west,389,0.46,14,0,1
49,female,48433,16,14,west,745,0.279,9,0,1
69,male,47467,8,3,west,593,0.369,4,0,1
47,male,51050,13,39,east,449,0.16,6,0,1
64,female,67428,13,15,south,431,0.886,8,0,1
52,female,36089,12,27,south,732,0.01,9,1,0
57,male,53575,20,15,north,358,0.882,3,1,0
69,female,64627,12,3,north,498,0.572,2,0,1
33,male,57516,8,25,north,514,0.332,6,0,1
30,male,52843,17,27,south,771,0.723,4,0,1
67,male,65015,19,31,north,546,0.508,1,0,1
59,male,9451,12,1,south,681,0.499,8,0,0
47,male,60168,9,30,south,538,0.11,9,0,1
36,male,40188,14,2,west,666,0.39,14,0,1
34,female,22540,10,7,north,467,0.241,9,0,1
36,male,57668,20,23,west,350,0.016,2,0,1
45,male,70604,11,14,east,679,0.36,9,0,1
43,female,47938,10,30,east,773,0.09,7,0,1
54,female,64293,10,8,east,379,0.257,5,0,1
43,female,74184,11,38,south,666,0.093,7,0,1
40,female,69723,12,1,south,760,0.101,13,0,1
26,female,74599,8,7,south,838,0.199,9,0,1
29,male,61131,11,6,north,751,1.0,8,0,1
18,male,51131,19,38,west,763,0.002,6,0,1
18,male,25970,19,15,south,777,0.639,13,0,1
64,male,46309,18,34,west,719,0.141,4,0,1
51,male,37351,15,29,west,513,0.921,13,1,0
49,female,82564,17,9,west,668,0.094,1,0,1
65,male,47361,14,37,north,413,0.955,6,0,1
42,male,51848,16,17,north,802,0.611,3,0,1
57,male,58272,12,4,east,610,0.001,6,1,0
62,female,50654,20,28,east,768,0.894,6,0,1
18,male,75425,17,38,west,343,0.522,14,1,0
33,female,40660,11,33,east,714,0.263,4,0,1
56,male,52919,15,22,west,545,0.767,2,0,1
22,male,38862,16,4,north,383,0.927,9,1,0
39,male,30199,20,29,north,506,0.484,2,0,1
46,female,40823,14,5,north,450,0.316,3,0,1
20,male,49444,21,3,south,827,0.789,10,0,1
29,female,43560,14,28,west,464,0.682,1,0,1
43,male,39613,12,22,north,444,0.889,7,0,1
33,male,28905,11,5,west,336,0.693,1,0,0
68,female,48753,21,31,east,632,0.244,11,0,1
54,female,27429,17,17,east,702,0.932,9,0,0
39,female,61400,8,14,north,713,0.105,11,1,0
46,female,51236,17,39,west,344,0.268,11,0,1
31,female,28136,17,31,north,701,0.52,1,0,1
45,female,45361,14,8,east,505,0.566,5,0,1
22,female,38717,8,36,north,361,0.015,7,0,0
64,female,54787,8,9,west,719,0.781,3,0,1
66,female,70106,12,19,east,767,0.362,9,1,1
47,female,21872,20,5,south,318,0.406,8,0,0
63,female,51725,16,2,east,664,0.809,13,0,1
69,male,47598,13,10,south,599,0.379,3,0,1
22,female,60070,10,16,north,306,0.047,5,0,1
29,female,53197,20,31,north,727,0.176,7,1,1
33,male,38720,10,3,west,416,0.956,12,0,1
43,female,45214,14,3,south,806,0.07,14,0,1
43,male,38059,13,16,north,845,0.355,4,0,1
65,male,66140,16,18,south,624,0.503,5,0,1
38,female,50319,13,4,north,354,0.493,3,0,1
56,male,78517,12,31,east,341,0.004,9,0,1
53,female,49090,17,21,north,596,0.501,10,0,1
50,female,39373,14,5,west,530,0.384,9,0,1
47,male,27294,8,34,east,752,0.972,7,0,0
54,male,22952,19,21,west,693,0.159,10,1,0
40,male,26237,14,0,east,821,0.354,2,1,0
27,female,54006,10,19,south,657,0.419,7,0,1
22,female,57630,21,21,west,743,0.391,7,0,1
53,female,26282,16,10,north,427,0.666,11,0,0
51,male,63425,13,12,south,704,0.216,5,0,1
69,female,42754,16,2,north,691,0.221,9,0,1
48,male,52201,20,8,east,492,0.729,13,0,1
27,female,74183,12,11,east,377,0.5,12,1,1
36,male,63452,14,22,north,384,0.415,11,1,1
49,female,45972,20,13,north,329,0.169,3,0,1
18,male,36632,21,32,south,348,0.188,4,0,1
22,female,17722,11,17,north,444,0.011,1,0,0
62,male,39212,14,8,west,368,0.091,6,0,1
21,female,46833,20,22,west,357,0.557,4,0,1
33,female,35192,8,9,north,778,0.892,1,0,1
41,male,48031,14,18,west,744,0.287,2,1,0
33,female,51152,15,4,north,595,0.328,3,0,1
19,female,46627,12,22,south,470,0.116,9,0,1
66,male,40249,9,29,west,446,0.389,13,0,1
45,male,52529,12,24,west,783,0.037,8,0,1
49,female,56629,13,27,north,605,0.918,7,0,0
44,male,33644,19,33,west,745,0.673,13,1,0
37,male,71163,9,24,east,520,0.991,11,0,1
