age,income,education_years,experience_years,credit_score,debt_ratio,num_accounts,previous_defaults,approved,gender_male,region_north,region_south,region_west
56,39834,18,15,393,0.611,5,0,0,False,False,False,False
58,80200,11,8,467,0.984,12,0,1,False,False,False,False
45,52048,10,11,640,0.361,4,0,1,True,True,False,False
24,44520,15,37,451,0.753,14,1,0,False,True,False,False
26,52770,21,18,573,0.5,6,0,1,False,False,True,False
25,29793,17,6,795,0.128,12,0,1,True,True,False,False
29,35425,8,34,400,0.582,3,0,0,True,False,True,False
51,68006,21,17,381,0.3,8,0,1,True,False,False,True
50,40146,9,15,828,0.034,6,0,1,False,True,False,False
65,34296,20,38,372,0.635,10,0,0,True,False,False,False
40,58049,14,3,313,0.859,5,0,1,True,True,False,False
41,67785,11,24,732,0.345,13,0,1,False,False,True,False
54,60784,15,31,456,0.39,2,0,1,False,True,False,False
52,64940,18,39,431,0.891,10,0,1,True,False,False,True
61,38648,20,12,637,0.814,10,0,1,False,False,False,False
57,28672,10,16,703,0.715,7,0,1,True,False,True,False
39,72520,13,36,675,0.249,2,0,1,False,False,False,False
44,45159,16,5,406,0.91,1,0,1,True,False,False,False
52,46237,8,18,564,0.154,7,0,1,True,False,True,False
18,69922,8,12,504,0.627,5,0,1,False,False,False,False
52,58343,15,25,378,0.029,1,0,1,True,False,False,False
54,56838,10,13,454,0.644,4,0,1,True,True,False,False
64,82475,12,30,546,0.277,12,0,1,False,False,False,False
31,40347,8,3,830,0.45,13,0,1,False,False,False,False
20,63917,12,38,837,0.345,4,0,1,False,False,False,False
18,50855,18,7,453,0.173,10,0,1,False,False,False,False
22,54028,13,24,453,0.622,7,0,1,True,False,True,False
43,72927,15,12,391,0.882,9,0,1,True,False,False,True
31,57617,20,31,732,0.959,2,0,1,True,True,False,False
56,58074,21,37,637,0.192,12,0,1,True,False,False,False
44,66087,10,37,779,0.717,14,0,1,False,False,False,False
26,44525,10,27,430,0.664,1,1,0,True,False,True,False
32,37411,19,29,749,0.343,2,0,1,True,False,False,True
32,34327,18,2,572,0.019,7,0,0,True,False,False,False
43,20504,18,27,476,0.69,13,0,0,False,False,True,False
59,80843,17,2,348,0.945,10,0,1,True,True,False,False
30,33451,16,33,654,0.632,6,0,0,True,True,False,False
68,46681,11,15,607,0.435,4,0,1,True,False,False,False
49,45847,11,21,345,0.525,1,0,1,False,False,False,False
56,54611,19,31,601,0.2,13,0,1,True,False,False,True
66,62236,14,37,707,0.751,1,0,1,False,False,False,True
69,62907,9,7,488,0.746,5,0,1,False,False,False,False
49,41253,15,7,428,0.146,1,0,1,True,False,True,False
21,47493,13,5,836,0.878,12,0,1,False,False,False,True
47,54238,10,13,565,0.269,7,0,1,False,False,False,False
54,46269,16,31,417,0.982,13,0,1,False,False,False,True
40,74110,12,34,763,0.383,11,0,1,True,False,False,False
56,57364,15,9,443,0.178,1,0,1,True,True,False,False
62,61023,14,2,741,0.352,1,0,1,False,False,False,False
32,59943,21,11,499,0.44,2,0,1,True,True,False,False
60,67602,15,30,456,0.069,13,1,0,False,False,False,True
46,52715,14,28,786,0.578,14,1,0,False,False,False,False
53,30547,10,4,433,0.598,11,0,0,False,False,False,True
30,55995,9,24,447,0.739,12,0,1,True,True,False,False
49,40229,14,30,635,0.029,10,0,1,True,False,False,False
24,42070,10,20,370,0.541,3,0,0,False,False,False,True
68,58795,10,19,532,0.053,13,0,1,False,True,False,False
39,68574,9,38,633,0.701,11,0,1,True,False,False,True
45,50319,11,21,389,0.056,1,1,0,False,False,True,False
19,54632,15,3,633,0.912,9,0,0,False,True,False,False
59,75533,19,12,498,0.702,10,0,1,True,True,False,False
62,53611,8,19,460,0.507,8,0,1,True,True,False,False
23,89025,8,12,837,0.442,5,0,1,True,False,False,False
45,58482,19,16,420,0.131,13,0,1,True,False,False,False
45,23588,21,35,600,0.291,11,0,1,True,False,False,False
61,61300,12,32,735,0.869,2,0,1,False,False,True,False
61,55717,18,0,367,0.904,5,0,1,True,False,True,False
37,69346,12,14,758,0.001,6,0,1,True,True,False,False
47,60097,18,12,813,0.594,14,1,1,True,False,True,False
28,47923,19,16,697,0.719,1,0,1,True,False,False,True
45,31635,8,23,585,0.619,11,0,1,False,True,False,False
42,46864,13,7,439,0.082,4,0,1,True,True,False,False
56,37242,8,26,581,0.218,9,0,1,True,False,False,True
50,41292,12,22,756,0.25,2,0,1,False,True,False,False
18,58828,16,7,386,0.832,5,1,0,True,False,True,False
44,75048,19,7,378,0.463,1,0,1,True,False,False,False
69,55920,21,25,504,0.487,4,0,1,True,False,False,True
30,32061,12,12,636,0.935,4,0,1,True,False,True,False
58,56669,13,38,553,0.637,6,0,1,True,False,False,True
20,67949,15,36,603,0.899,10,0,1,True,False,False,True
56,40853,18,27,679,0.457,9,0,1,True,True,False,False
23,47989,8,24,429,0.149,3,0,1,False,True,False,False
25,50220,21,15,575,0.93,9,0,1,True,False,True,False
44,38226,9,1,482,0.459,6,1,0,True,False,False,True
26,59724,16,17,567,0.182,7,0,1,False,True,False,False
54,48185,10,16,621,0.302,12,0,1,True,True,False,False
50,56292,13,29,811,0.051,10,0,1,False,False,False,True
68,36687,12,38,377,0.468,2,0,1,True,False,True,False
59,43438,18,12,638,0.853,11,0,1,False,False,True,False
61,60835,9,31,808,0.934,10,0,1,True,False,False,True
41,44407,21,28,537,0.933,14,1,0,True,False,True,False
32,75904,14,29,433,0.125,6,0,1,True,True,False,False
49,44005,11,17,491,0.382,6,0,1,False,False,False,True
49,53370,8,12,655,0.028,2,1,1,True,True,False,False
41,63988,20,20,577,0.855,2,0,1,True,False,False,False
58,28724,11,29,317,0.359,14,0,0,True,False,False,False
69,23587,13,20,823,0.631,2,0,1,False,False,True,False
66,27115,14,16,479,0.715,10,0,1,True,False,False,False
66,68938,14,39,422,0.43,12,0,1,False,True,False,False
69,41722,21,18,545,0.306,1,0,1,True,False,False,False
29,88372,14,14,672,0.962,5,0,1,True,True,False,False
56,41536,10,8,350,0.964,8,1,0,True,False,True,False
19,52768,13,9,370,0.289,2,0,1,True,False,True,False
20,73131,20,30,779,0.48,13,0,1,True,True,False,False
66,80091,15,22,318,0.973,5,0,1,True,False,False,False
54,80922,11,29,383,0.005,12,1,0,False,False,True,False
66,68125,20,32,454,0.413,8,0,1,True,False,False,True
34,65360,15,8,656,0.1,10,1,1,True,False,True,False
66,58887,9,0,742,0.509,14,0,1,True,False,False,False
19,61675,17,34,368,0.025,5,0,1,True,False,False,True
19,41732,16,10,822,0.407,2,0,1,True,False,False,False
45,37727,16,33,442,0.221,3,0,1,True,True,False,False
40,49949,15,15,491,0.533,6,0,1,True,False,False,True
54,47447,17,8,686,0.996,11,0,1,False,False,False,False
49,43201,21,31,677,0.801,11,0,1,False,False,False,True
50,60445,20,14,834,0.846,5,0,1,True,False,False,False
18,64329,17,11,592,0.635,11,0,1,True,False,False,True
36,51326,8,32,308,0.042,4,0,1,False,False,False,False
19,72162,9,13,570,0.207,4,0,1,True,True,False,False
61,32874,13,7,686,0.925,5,0,0,True,False,False,True
43,47095,17,7,392,0.366,2,0,0,True,False,False,True
49,39247,12,26,828,0.104,9,0,1,False,False,False,True
23,22001,19,11,453,0.702,2,0,0,False,False,False,True
49,48759,21,0,704,0.299,10,0,1,True,True,False,False
21,48173,16,39,448,0.269,2,0,1,True,False,False,True
28,72701,12,10,566,0.998,10,0,1,True,False,True,False
34,59462,9,38,721,0.858,14,0,1,False,True,False,False
55,34637,17,30,771,0.408,9,0,1,True,False,True,False
41,77811,11,16,846,0.98,14,0,1,True,False,False,True
22,68315,16,32,825,0.65,3,0,1,False,False,False,False
69,58731,8,31,802,0.742,10,0,1,True,False,True,False
51,46602,18,28,313,0.032,7,0,1,False,False,False,True
23,35608,8,20,663,0.122,4,0,1,True,False,True,False
39,44416,19,20,418,0.633,13,0,1,True,False,False,True
28,66331,14,39,537,0.899,13,0,1,True,False,False,True
65,78268,18,22,845,0.624,6,0,1,False,False,False,True
33,73148,10,5,468,0.134,14,0,1,False,False,False,False
50,42667,17,21,821,0.116,4,0,1,False,False,True,False
26,33205,9,37,815,0.844,10,0,1,True,True,False,False
23,52113,16,36,696,0.139,7,1,1,False,True,False,False
33,23473,10,7,405,0.52,1,0,0,True,True,False,False
46,54847,9,34,384,0.037,3,0,1,True,True,False,False
20,47785,19,10,513,0.081,13,0,1,False,False,False,True
37,43009,15,23,420,0.672,3,0,1,True,False,True,False
53,26079,17,20,431,0.689,1,0,1,True,False,True,False
36,57704,13,1,496,0.341,6,0,1,True,False,False,False
43,42009,13,39,318,0.216,13,1,1,True,False,True,False
20,32451,17,18,311,0.814,11,0,1,True,False,True,False
36,6916,18,38,380,0.217,14,0,0,True,False,True,False
37,49587,14,27,629,0.542,9,0,1,True,False,False,False
49,76583,14,16,691,0.968,8,0,1,False,True,False,False
24,74918,18,5,606,0.148,11,0,1,False,False,True,False
69,43143,20,18,566,0.941,7,0,1,True,False,False,False
58,40966,13,37,746,0.183,10,0,1,True,False,False,False
50,57031,11,27,740,0.567,8,0,1,True,False,False,True
57,35024,18,1,301,0.377,6,0,1,True,False,False,False
56,54526,16,37,819,0.965,9,0,1,True,True,False,False
35,61491,13,36,608,0.274,3,0,1,False,False,True,False
57,68403,11,3,821,0.4,10,0,1,True,False,False,False
18,48497,19,21,768,0.983,10,0,1,True,True,False,False
28,46944,10,25,511,0.536,9,0,1,True,False,False,False
45,36830,11,35,411,0.503,4,1,0,True,False,False,False
42,37596,10,12,307,0.258,7,1,0,False,False,False,False
67,46602,9,31,776,0.701,13,0,1,False,False,False,False
40,55510,21,16,759,0.014,9,0,1,True,False,False,False
48,63703,12,35,552,0.05,2,0,1,False,True,False,False
47,37952,9,18,825,0.599,2,0,1,True,False,True,False
59,72390,13,34,737,0.342,9,0,1,False,False,True,False
52,45933,10,39,535,0.953,12,0,1,False,False,True,False
24,49679,13,27,605,0.903,13,0,1,True,False,True,False
33,38791,18,0,777,0.714,3,0,1,True,True,False,False
43,13636,17,17,319,0.818,9,0,0,True,False,False,True
65,63260,16,39,515,0.667,13,0,1,True,False,False,True
69,61052,8,32,434,0.126,5,0,1,False,True,False,False
66,45780,13,11,428,0.766,6,1,0,True,True,False,False
19,51004,16,7,709,0.21,2,0,1,True,False,False,False
18,57739,18,23,721,0.323,8,0,1,False,False,False,False
65,26561,11,15,593,0.819,11,0,1,False,False,False,False
29,42064,18,3,545,0.537,9,0,1,True,False,True,False
22,61913,19,37,385,0.86,2,0,1,True,False,False,False
54,31185,9,26,674,0.213,6,0,1,True,False,False,True
49,54403,20,8,745,0.608,6,0,1,True,False,True,False
26,29651,11,15,677,0.084,8,0,0,False,False,False,False
58,56996,8,11,689,0.643,10,0,0,True,False,True,False
52,49465,10,30,350,0.763,12,0,0,True,False,False,True
36,25773,17,23,541,0.585,5,0,1,True,False,False,False
65,67471,16,13,593,0.266,9,0,1,True,False,False,True
33,38981,17,24,565,0.031,1,0,1,False,False,False,True
20,37846,12,33,419,0.119,9,0,1,False,False,False,True
37,53008,18,2,547,0.622,10,1,0,True,False,False,False
41,67229,13,23,369,0.934,7,0,1,True,True,False,False
50,34762,10,8,356,0.207,4,1,0,True,False,False,False
41,50925,12,25,681,0.735,3,0,1,False,False,False,True
69,56432,18,19,338,0.866,14,0,1,False,False,False,False
28,60396,15,39,742,0.521,10,1,0,True,False,False,True
66,52646,13,9,317,0.669,11,0,0,False,True,False,False
25,44494,11,18,651,0.815,14,0,1,False,False,True,False
53,37586,9,2,597,0.261,6,0,1,True,True,False,False
55,51292,21,23,582,0.297,12,0,1,False,True,False,False
57,33917,16,4,409,0.001,13,1,0,True,False,True,False
37,6179,20,2,479,0.963,1,0,0,True,False,False,False
52,56548,19,26,843,0.918,3,0,1,True,False,True,False
65,63559,8,15,324,0.765,2,0,1,True,False,False,False
42,14556,8,14,356,0.079,11,0,1,True,False,False,False
52,34854,20,34,479,0.448,13,0,1,False,False,False,True
42,59287,11,11,531,0.102,9,0,1,True,False,False,True
46,80862,14,25,642,0.016,3,0,1,False,False,True,False
35,50311,8,33,776,0.616,13,0,1,True,True,False,False
63,39079,16,22,754,0.961,2,1,0,True,False,True,False
35,47256,11,30,531,0.903,4,0,1,True,False,False,False
19,70623,10,19,588,0.697,14,0,1,True,False,False,True
52,40310,8,11,512,0.097,2,0,1,False,False,True,False
33,38012,17,22,557,0.274,1,0,1,True,False,True,False
58,42758,11,3,829,0.32,6,0,1,True,False,False,True
53,35700,16,22,528,0.763,10,1,0,True,False,False,True
50,51840,20,0,525,0.802,8,0,0,False,False,False,True
21,74370,21,24,734,0.385,10,1,1,False,False,False,False
50,54846,17,1,701,0.418,10,0,0,False,False,False,True
31,46214,13,29,387,0.045,2,0,1,True,True,False,False
38,45622,13,2,841,0.289,14,0,1,True,False,True,False
65,26552,8,20,608,0.451,9,0,0,True,False,False,True
37,63246,17,24,642,0.117,13,0,1,True,False,False,True
25,48832,9,19,735,0.453,3,1,0,True,False,False,False
24,47292,18,21,476,0.853,8,0,1,True,False,False,False
20,97896,13,20,438,0.581,12,1,1,True,False,True,False
34,54481,9,32,493,0.079,8,0,1,True,True,False,False
50,38723,10,37,485,0.192,3,0,1,False,False,True,False
65,43604,11,14,517,0.475,3,0,1,True,False,False,True
29,67226,18,14,463,0.361,12,0,1,True,True,False,False
68,51699,12,24,460,0.359,6,1,0,False,True,False,False
39,28425,16,20,824,0.529,1,0,1,True,True,False,False
39,63788,19,23,341,0.584,4,0,1,False,True,False,False
63,39977,11,4,509,0.797,1,0,1,True,False,True,False
47,78099,20,5,574,0.341,14,0,1,True,False,False,False
55,66200,18,22,578,0.805,3,0,1,False,False,False,False
55,43290,16,3,550,0.339,9,0,0,False,False,False,True
62,69215,18,26,609,0.055,14,0,1,False,False,False,False
68,51017,17,17,439,0.554,14,0,1,True,False,False,False
25,62791,10,20,845,0.588,5,0,1,True,False,False,False
44,57270,15,27,829,0.935,12,0,1,True,False,False,False
44,37304,19,34,356,0.726,5,0,1,True,False,False,True
51,40346,8,21,411,0.918,11,0,1,False,False,True,False
38,65449,18,39,304,0.908,4,0,1,True,True,False,False
47,44978,16,22,709,0.605,3,0,1,False,False,False,False
50,43945,16,2,713,0.528,5,0,1,True,False,True,False
45,35673,17,39,481,0.557,14,0,1,True,False,False,False
64,56353,9,9,312,0.978,11,0,1,True,False,False,False
50,80937,11,24,638,0.773,4,0,1,False,True,False,False
22,33987,20,7,558,0.106,8,0,1,False,True,False,False
65,50363,15,10,389,0.778,4,0,1,False,True,False,False
36,71183,14,4,549,0.171,11,0,1,False,False,False,False
21,48805,8,36,554,0.447,12,0,0,False,False,False,False
52,56785,12,37,407,0.21,8,0,1,False,False,False,False
66,34064,14,28,784,0.69,6,0,1,True,True,False,False
34,56424,11,4,557,0.877,14,0,1,True,False,False,True
61,47192,8,8,581,0.29,12,0,1,True,False,True,False
45,64785,16,1,387,0.082,11,0,1,False,False,False,True
47,67810,21,0,503,0.298,5,0,1,False,False,False,False
46,88843,12,39,315,0.672,4,0,1,True,False,False,False
63,58694,18,29,450,0.329,4,0,1,False,False,False,True
23,54886,9,10,553,0.278,12,0,0,False,False,False,False
52,52915,15,27,487,0.184,4,0,1,True,False,True,False
58,44702,18,11,628,0.498,11,0,1,True,False,False,False
54,55077,20,38,843,0.276,13,0,1,False,False,True,False
41,45568,9,25,696,0.731,13,1,0,True,False,False,True
46,52526,10,12,816,0.077,9,0,0,False,False,False,True
66,69763,21,7,758,0.664,4,0,1,True,False,False,False
63,34901,17,27,629,0.238,12,0,1,False,False,True,False
48,67098,8,29,468,0.489,9,1,0,False,False,False,False
52,69756,18,8,665,0.286,13,0,1,False,True,False,False
50,48228,9,38,477,0.723,10,0,1,True,True,False,False
69,18172,21,30,661,0.945,6,0,0,False,True,False,False
38,40882,14,20,339,0.917,10,0,0,False,True,False,False
49,69454,17,33,715,0.583,13,1,1,True,False,False,False
40,49656,9,30,654,0.463,7,0,1,False,True,False,False
50,35010,13,24,554,0.818,12,0,0,True,False,True,False
20,42428,10,11,442,0.683,10,1,0,True,False,False,True
35,62609,11,0,310,0.184,3,0,1,True,False,False,True
42,58201,18,21,325,0.821,8,0,1,True,True,False,False
59,46416,20,39,720,0.429,3,0,1,True,True,False,False
48,44497,15,36,520,0.189,1,0,1,False,True,False,False
20,44123,21,0,795,0.282,13,0,1,True,False,False,False
57,36163,10,0,536,0.268,13,0,1,False,False,False,True
63,74230,17,20,536,0.519,10,0,1,True,True,False,False
41,45165,13,14,518,0.234,12,0,1,True,False,True,False
67,68257,8,16,786,0.124,5,0,1,True,True,False,False
49,72819,14,21,760,0.124,2,0,1,False,False,False,True
64,64974,15,37,443,0.583,10,1,1,True,True,False,False
39,43525,18,34,488,0.735,14,0,1,False,False,False,True
40,56055,21,15,554,0.322,6,0,1,False,True,False,False
19,49637,15,7,367,0.035,13,1,0,False,False,True,False
44,36444,10,16,635,0.127,10,0,1,True,True,False,False
59,54865,21,16,708,0.915,9,0,1,True,False,True,False
19,32314,17,25,599,0.494,1,0,1,False,False,True,False
43,67815,8,12,656,0.454,14,0,1,True,True,False,False
34,43030,16,16,555,0.038,13,0,1,False,False,True,False
57,53017,20,37,652,0.729,4,1,0,True,False,False,False
50,54249,13,16,820,0.528,1,0,1,False,True,False,False
26,46116,18,13,823,0.202,1,0,1,False,True,False,False
60,58800,16,5,583,0.11,8,0,1,False,False,True,False
65,42876,14,34,611,0.383,14,0,1,True,False,True,False
56,63069,8,13,398,0.837,14,0,0,False,True,False,False
46,29810,19,7,496,0.865,13,0,0,True,False,False,False
59,51895,19,14,781,0.603,14,0,1,True,False,True,False
43,79083,8,26,525,0.728,11,0,1,False,False,True,False
52,34995,13,12,664,0.115,2,0,1,False,False,False,True
67,39833,12,30,667,0.588,1,0,1,False,False,False,False
42,57708,16,34,374,0.667,11,0,1,False,False,False,False
41,52693,9,5,341,0.201,8,0,0,True,True,False,False
30,55259,15,4,721,0.88,4,0,1,True,False,False,False
24,57337,18,21,480,0.195,3,0,1,False,True,False,False
53,59520,12,22,844,0.313,13,1,1,True,False,False,True
62,66645,9,24,370,0.621,12,0,1,True,False,False,False
37,56147,20,33,404,0.638,4,1,0,True,False,True,False
18,46381,17,25,499,0.699,14,0,1,True,False,False,True
25,60088,18,4,400,0.112,11,1,0,True,True,False,False
63,78498,18,25,606,0.849,5,0,1,True,False,False,True
33,48010,19,19,676,0.533,1,1,0,True,True,False,False
31,35382,13,5,698,0.471,14,0,1,True,False,False,True
29,66606,17,5,520,0.981,11,0,1,False,True,False,False
68,48194,15,17,481,0.74,1,1,0,True,False,False,False
40,17409,11,3,606,0.118,3,0,0,True,False,True,False
32,62711,9,16,821,0.757,6,0,1,False,True,False,False
45,41970,19,13,695,0.095,1,0,1,True,False,False,True
51,48642,18,13,303,0.027,14,1,0,False,True,False,False
19,54979,12,12,580,0.404,11,0,1,False,True,False,False
49,52857,19,6,514,0.994,12,0,1,True,True,False,False
40,60641,9,14,719,0.175,2,0,1,True,False,False,True
39,43467,9,18,400,0.673,12,0,0,False,False,True,False
68,57696,13,34,820,0.173,14,0,1,False,False,False,False
42,46106,18,16,608,0.725,7,0,1,True,False,True,False
39,61082,17,34,809,0.505,14,0,1,False,True,False,False
39,59230,16,18,362,0.68,14,1,1,True,False,False,True
66,35968,20,19,525,0.203,1,0,1,False,False,True,False
69,66289,11,35,404,0.746,13,0,1,True,True,False,False
59,41960,13,34,724,0.996,14,0,1,False,False,False,False
23,62120,14,31,554,0.666,7,0,1,False,False,False,False
32,55509,20,39,728,0.493,4,0,1,False,False,False,False
60,77572,18,23,733,0.923,10,0,1,True,True,False,False
54,46648,13,16,506,0.016,14,0,1,True,False,False,True
50,44760,15,6,327,0.73,6,0,0,True,False,True,False
25,49708,11,0,635,0.889,14,0,1,True,False,False,False
61,45452,19,34,368,0.062,8,0,1,True,True,False,False
61,61999,8,31,812,0.45,9,0,1,False,True,False,False
22,25755,14,35,466,0.205,6,0,1,True,False,True,False
56,34194,10,12,667,0.567,12,0,1,True,False,False,False
21,33982,21,5,550,0.65,11,0,1,False,True,False,False
23,64254,13,13,469,0.303,13,0,1,False,False,True,False
62,75659,9,36,389,0.46,14,0,1,False,False,False,True
49,48433,16,14,745,0.279,9,0,1,False,False,False,True
69,47467,8,3,593,0.369,4,0,1,True,False,False,True
47,51050,13,39,449,0.16,6,0,1,True,False,False,False
64,67428,13,15,431,0.886,8,0,1,False,False,True,False
52,36089,12,27,732,0.01,9,1,0,False,False,True,False
57,53575,20,15,358,0.882,3,1,0,True,True,False,False
69,64627,12,3,498,0.572,2,0,1,False,True,False,False
33,57516,8,25,514,0.332,6,0,1,True,True,False,False
30,52843,17,27,771,0.723,4,0,1,True,False,True,False
67,65015,19,31,546,0.508,1,0,1,True,True,False,False
